Flash time (UTC),Lat,Lon,Radiance,Milliseconds,Groups,Events,Orbit-ID
2023-145T08:56:04.6188Z [May,27.443,85.316,254676,315,15,29,82328
2023-145T08:56:04.9751Z [May,27.456,85.210,25150,5,2,2,82328
2023-164T01:31:44.2401Z [Jun,27.297,84.986,90639,178,6,14,10001
2023-164T01:31:45.2239Z [Jun,27.282,84.819,391456,288,10,33,10001
2023-164T01:32:13.8884Z [Jun,27.290,85.029,40503,73,3,6,10001
2023-170T08:02:42.8730Z [Jun,27.497,84.592,44089,85,5,7,70303
2023-170T08:03:06.1095Z [Jun,27.487,84.656,492174,331,14,42,70303
2023-170T08:03:28.8529Z [Jun,27.513,84.593,26866,39,2,3,70303
2023-170T08:03:51.2876Z [Jun,27.531,84.686,185880,59,7,14,70303
2023-170T08:04:06.2634Z [Jun,27.471,85.007,50631,104,3,6,70303
2023-170T08:04:10.2703Z [Jun,27.529,84.681,302126,279,8,24,70303
2023-173T22:15:35.4915Z [Jun,27.218,85.238,41854,128,2,3,214125
2023-174T21:25:37.5758Z [Jun,27.350,85.382,53085,1,2,6,205347
2023-174T21:25:38.4943Z [Jun,27.315,85.383,2077906,637,23,147,205347
2023-174T21:25:45.8368Z [Jun,27.903,84.582,244955,649,10,38,205347
2023-174T21:26:02.4302Z [Jun,27.355,85.396,1327028,933,30,120,205347
2023-174T21:26:04.1528Z [Jun,27.950,84.671,108662,0,1,25,205347
2023-174T21:26:22.9874Z [Jun,27.300,85.379,982430,660,15,81,205347
2023-174T21:26:36.3814Z [Jun,27.335,85.233,70024,0,1,17,205347
2023-174T21:26:47.6288Z [Jun,27.312,85.383,504125,982,15,57,205347
2023-174T21:26:47.7720Z [Jun,27.275,85.360,944769,375,13,63,205347
2023-174T21:27:10.2160Z [Jun,27.809,84.785,44412,1,2,9,205347
2023-181T18:57:20.4410Z [Jun,27.360,84.846,285247,268,7,36,182455
2023-193T14:07:39.8182Z [Jul,27.396,85.314,884048,601,24,91,133525
2023-193T14:07:41.8754Z [Jul,27.514,84.829,5556,0,1,1,133525
2023-193T14:07:43.2648Z [Jul,27.490,84.862,1989618,5,4,183,133525
2023-193T14:07:44.3818Z [Jul,27.500,84.890,1029737,43,2,72,133525
2023-193T14:08:12.1305Z [Jul,27.359,85.272,1438565,560,23,130,133525
2023-193T14:08:28.0052Z [Jul,27.291,85.418,394867,119,13,52,133525
2023-193T14:08:34.7191Z [Jul,27.401,85.147,234941,116,5,36,133525
2023-193T14:08:34.8316Z [Jul,27.342,85.128,67417,61,3,10,133525
2023-193T14:08:58.2081Z [Jul,27.619,84.954,2846970,456,16,147,133525
2023-194T13:20:57.6236Z [Jul,27.057,85.448,167326,403,11,25,124819
2023-201T10:55:38.1386Z [Jul,27.482,84.672,1296183,336,37,122,102341
2023-201T10:55:47.4779Z [Jul,27.519,84.873,136939,214,3,19,102341
2023-204T10:08:31.6480Z [Jul,27.570,84.973,193446,127,5,24,93438
2023-223T11:02:43.7262Z [Aug,27.660,84.618,101319,26,5,13,100248
2023-223T11:02:46.4081Z [Aug,27.643,84.611,19966,32,2,3,100248
2023-223T11:02:57.2642Z [Aug,27.623,84.626,72189,118,4,10,100248
2023-223T11:03:05.1222Z [Aug,27.575,84.552,20308,0,1,3,100248
2023-223T11:03:17.0232Z [Aug,27.594,84.574,82970,1,2,8,100248
2023-223T11:03:18.3567Z [Aug,27.660,84.630,208756,137,5,28,100248
2023-223T11:03:24.7172Z [Aug,27.643,84.619,73910,162,5,10,100248
2023-223T11:03:24.9428Z [Aug,27.592,84.574,186003,220,9,20,100248
2023-223T11:03:32.9797Z [Aug,27.582,84.584,273120,143,3,18,100248
2023-223T11:03:36.7111Z [Aug,27.565,84.563,196486,196,6,23,100248
2023-246T17:17:36.4617Z [Sep,27.834,85.291,452407,182,6,31,164505
2023-246T17:17:38.3057Z [Sep,27.982,85.285,16648,0,1,2,164505
2023-246T17:17:55.9915Z [Sep,27.972,85.261,20975,55,2,4,164505
2023-246T17:17:58.0407Z [Sep,27.962,85.214,14618,0,1,3,164505
2023-246T17:18:03.4994Z [Sep,27.987,85.244,87604,21,2,13,164505
2023-246T17:18:08.1152Z [Sep,27.973,85.224,17349,0,1,2,164505
2023-246T17:18:13.0799Z [Sep,27.820,85.329,32013,62,3,7,164505
2023-246T17:18:13.4829Z [Sep,27.821,85.315,59144,16,3,12,164505
2023-246T17:18:14.1380Z [Sep,27.966,85.213,18808,30,3,4,164505
2023-246T17:18:18.9434Z [Sep,27.969,85.237,34835,1,2,8,164505
2023-246T17:18:25.1090Z [Sep,27.959,85.226,26667,0,1,4,164505
2023-246T17:18:30.3888Z [Sep,27.955,85.219,73110,57,3,10,164505
2023-246T17:18:33.1299Z [Sep,27.972,85.254,18727,0,1,3,164505
2023-246T17:18:48.6298Z [Sep,27.961,85.222,46804,125,3,7,164505
2023-246T17:18:52.4558Z [Sep,27.819,85.400,43100,257,3,9,164505
2023-246T17:18:56.4069Z [Sep,27.812,85.167,35988,125,4,7,164505
2023-246T17:18:56.4752Z [Sep,27.870,85.106,141093,0,1,17,164505
2023-246T17:18:57.5546Z [Sep,27.956,85.236,14361,27,2,3,164505
2023-246T17:19:08.6275Z [Sep,27.939,85.214,22572,92,2,3,164505
2023-246T17:19:18.8653Z [Sep,27.940,85.226,12799,69,2,2,164505
2023-250T15:39:57.4536Z [Sep,27.992,85.229,18574,119,2,4,150735
2023-250T15:40:38.4463Z [Sep,27.943,85.449,76518,333,5,14,150735
2023-250T15:40:56.8776Z [Sep,27.954,85.239,3379621,704,42,240,150735
2023-250T15:41:28.0958Z [Sep,27.992,85.188,86172,308,5,15,150735
2023-254T22:17:05.0039Z [Sep,27.259,85.239,9054,30,2,2,211721
2023-254T22:17:49.7828Z [Sep,27.264,85.245,61762,220,4,11,211721
2023-258T20:42:56.3866Z [Sep,27.962,84.917,1490747,752,55,166,194329
2023-258T20:43:13.5926Z [Sep,27.916,84.820,120095,182,7,20,194329
2023-261T19:56:25.5907Z [Sep,27.256,85.044,505770,2,2,20,185600
2023-261T19:56:52.0986Z [Sep,27.265,85.183,2363521,320,24,152,185600
2023-261T19:57:08.0537Z [Sep,27.233,85.107,82790,275,10,16,185600
2023-261T19:57:12.4867Z [Sep,27.274,85.122,23571,145,3,6,185600
2023-261T19:57:26.4662Z [Sep,27.226,85.108,72754,159,4,13,185600
2023-284T11:09:49.1329Z [Oct,27.614,84.706,54860,46,2,8,100922
2023-284T11:09:53.3690Z [Oct,27.588,84.684,72084,98,5,12,100922
2023-284T11:09:59.2074Z [Oct,27.604,84.683,22820,0,1,2,100922
2023-284T11:10:22.7399Z [Oct,27.577,84.718,63520,220,5,9,100922
