Flash time (UTC),Lat,Lon,Radiance,Milliseconds,Groups,Events,Orbit-ID
2023-137T12:09:57.3316Z [May,27.390,84.529,276074,551,10,27,113728
2023-137T12:09:57.9707Z [May,27.308,84.882,191388,245,11,28,113728
2023-137T12:09:59.6250Z [May,27.285,85.623,260064,406,8,21,113728
2023-137T12:10:00.2180Z [May,27.586,84.524,135616,118,5,14,113728
2023-137T12:10:14.6944Z [May,27.160,85.312,83056,257,5,9,113728
2023-137T12:10:15.3477Z [May,27.227,85.420,741728,784,27,66,113728
2023-137T12:10:16.4241Z [May,27.291,85.628,114042,205,6,11,113728
2023-137T12:10:18.8947Z [May,27.227,85.348,46875,85,3,7,113728
2023-137T12:10:20.3107Z [May,27.257,85.548,242890,555,21,41,113728
2023-137T12:10:20.6384Z [May,27.295,85.645,286786,249,12,30,113728
2023-137T12:10:20.7459Z [May,27.268,84.851,131479,75,6,16,113728
2023-137T12:10:21.3454Z [May,27.147,85.317,71487,410,7,11,113728
2023-137T12:10:23.6660Z [May,27.235,85.435,45487,225,5,7,113728
2023-137T12:10:24.4698Z [May,27.464,84.536,191029,338,7,15,113728
2023-137T12:10:24.8030Z [May,27.369,85.119,1242881,1104,46,130,113728
2023-137T12:10:25.4709Z [May,27.309,84.879,51846,118,4,9,113728
2023-137T12:10:25.5869Z [May,27.281,84.324,58661,123,3,6,113728
2023-137T12:10:26.4195Z [May,27.396,84.534,46070,232,2,6,113728
2023-137T12:10:29.5602Z [May,27.241,85.637,63075,155,7,9,113728
2023-137T12:10:29.8250Z [May,27.104,85.206,39702,239,5,6,113728
2023-137T12:10:30.2190Z [May,27.597,84.647,18123,0,1,2,113728
2023-137T12:10:30.3299Z [May,27.395,84.551,54004,189,4,7,113728
2023-137T12:10:31.6103Z [May,27.103,85.258,17989,0,1,2,113728
2023-137T12:10:32.0771Z [May,27.274,85.618,58848,123,5,8,113728
2023-137T12:10:32.5605Z [May,27.404,84.472,48327,361,5,6,113728
2023-137T12:10:33.1710Z [May,27.691,84.637,139134,283,5,11,113728
2023-137T12:10:34.3172Z [May,27.212,85.388,31649,0,1,3,113728
2023-137T12:10:35.1890Z [May,27.475,84.540,126026,62,3,6,113728
2023-137T12:10:35.2749Z [May,27.134,85.300,47672,162,2,7,113728
2023-137T12:10:38.6838Z [May,27.262,85.567,67936,102,3,7,113728
2023-137T12:10:39.9455Z [May,27.271,85.625,109581,223,3,9,113728
2023-140T11:20:13.9399Z [May,27.863,84.400,80228,150,6,11,104753
2023-140T11:20:14.5218Z [May,28.027,84.075,110492,404,6,11,104753
2023-140T11:20:14.9263Z [May,27.959,84.394,232900,265,12,28,104753
2023-140T11:20:15.2448Z [May,27.853,84.464,132196,93,2,13,104753
2023-140T11:20:16.5111Z [May,27.994,84.484,439050,465,17,39,104753
2023-140T11:20:16.7076Z [May,27.911,84.374,112401,70,5,11,104753
2023-140T11:20:18.2099Z [May,27.959,84.118,56714,155,6,10,104753
2023-140T11:20:18.6989Z [May,27.868,84.416,77134,218,5,12,104753
2023-140T11:20:18.6989Z [May,27.827,84.376,97106,60,3,13,104753
2023-140T11:20:19.2341Z [May,28.029,84.141,60362,214,4,7,104753
2023-140T11:20:19.4004Z [May,28.098,84.008,203112,130,6,32,104753
2023-140T11:20:19.5240Z [May,27.931,84.369,290158,302,12,29,104753
2023-140T11:20:20.3692Z [May,28.108,84.363,30116,107,4,6,104753
2023-140T11:20:20.8471Z [May,28.063,84.436,3169026,1507,66,279,104753
2023-140T11:20:21.5686Z [May,27.901,84.469,129769,238,9,16,104753
